Sektor,Ticker,Performance %,Weight
Technology,XLK,34.37,1
Health Care,XLV,8.48,1
Financials,XLF,-1.99,1
Consumer Discretionary,XLY,2.28,1
Communication Services,XLC,4.95,1
Industrials,XLI,16.2,1
Consumer Staples,XLP,6.32,1
Energy,XLE,33.39,1
Utilities,XLU,8.51,1
Real Estate,XLRE,8.51,1
Materials,XLB,15.4,1
