Sektor,Ticker,Performance %,Weight
Technology,XLK,51.38,1
Health Care,XLV,2.96,1
Financials,XLF,3.39,1
Consumer Discretionary,XLY,8.73,1
Communication Services,XLC,21.12,1
Industrials,XLI,24.1,1
Consumer Staples,XLP,6.81,1
Energy,XLE,26.66,1
Utilities,XLU,15.67,1
Real Estate,XLRE,5.02,1
Materials,XLB,12.97,1
