Sektor,Ticker,Performance %,Weight
Technology,XLK,8.11,1
Health Care,XLV,0.77,1
Financials,XLF,0.0,1
Consumer Discretionary,XLY,0.48,1
Communication Services,XLC,-0.21,1
Industrials,XLI,1.97,1
Consumer Staples,XLP,1.08,1
Energy,XLE,-3.06,1
Utilities,XLU,-2.54,1
Real Estate,XLRE,1.13,1
Materials,XLB,2.94,1
