Sektor,Ticker,Performance %,Weight
Technology,XLK,31.83,1
Health Care,XLV,-0.52,1
Financials,XLF,4.48,1
Consumer Discretionary,XLY,8.54,1
Communication Services,XLC,4.51,1
Industrials,XLI,7.8,1
Consumer Staples,XLP,3.0,1
Energy,XLE,-6.02,1
Utilities,XLU,-1.53,1
Real Estate,XLRE,9.18,1
Materials,XLB,4.34,1
