Date,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Adj Close,NVDA_Volume,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Close,TSLA_Adj Close,TSLA_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Adj Close,GOOGL_Volume
2025-11-13,613.0700073242188,617.6500244140625,603.0,609.8900146484375,608.8717041015625,20973800,191.0500030517578,191.44000244140625,183.85000610351562,186.86000061035156,186.8394775390625,207423100,423.1300048828125,424.5,396.3399963378906,401.989990234375,401.989990234375,118948000,510.30999755859375,513.5,501.2900085449219,503.2900085449219,501.205810546875,25273100,274.1099853515625,276.70001220703125,272.0899963378906,272.95001220703125,272.4438171386719,49602800,243.0500030517578,243.75,236.5,237.5800018310547,237.5800018310547,41401700,282.3399963378906,282.8399963378906,277.239990234375,278.57000732421875,278.19207763671875,29494000
2025-11-14,601.7899780273438,613.6799926757812,595.2000122070312,609.4600219726562,608.4424438476562,20724100,182.86000061035156,191.00999450683594,180.5800018310547,190.1699981689453,190.1491241455078,186591900,386.29998779296875,412.19000244140625,382.7799987792969,404.3500061035156,404.3500061035156,105506700,498.2300109863281,511.6000061035156,497.44000244140625,510.17999267578125,508.0672912597656,28505700,271.04998779296875,275.9599914550781,269.6000061035156,272.4100036621094,271.90484619140625,47431300,235.05999755859375,238.72999572753906,232.88999938964844,234.69000244140625,234.69000244140625,38956700,271.4100036621094,278.55999755859375,270.70001220703125,276.4100036621094,276.0350036621094,31647200
2025-11-17,609.0399780273438,611.6900024414062,595.4000244140625,602.010009765625,601.0048217773438,16501300,185.97000122070312,189.0,184.32000732421875,186.60000610351562,186.5795135498047,173628900,398.739990234375,423.9599914550781,398.739990234375,408.9200134277344,408.9200134277344,102214300,508.45001220703125,512.1199951171875,504.9100036621094,507.489990234375,505.388427734375,19092800,268.82000732421875,270.489990234375,265.7300109863281,267.4599914550781,266.9639892578125,45018300,233.25,234.60000610351562,229.19000244140625,232.8699951171875,232.8699951171875,59919000,285.7799987792969,293.95001220703125,283.57000732421875,285.0199890136719,284.63330078125,52670200
2025-11-18,591.5999755859375,603.6599731445312,583.780029296875,597.6900024414062,596.6920776367188,25500600,183.3800048828125,184.8000030517578,179.64999389648438,181.36000061035156,181.340087890625,213598900,405.3800048828125,408.8999938964844,393.7099914550781,401.25,401.25,80688600,495.3699951171875,502.9800109863281,486.7799987792969,493.7900085449219,491.74517822265625,33815100,269.989990234375,270.7099914550781,265.32000732421875,267.44000244140625,266.94403076171875,45677300,228.10000610351562,230.1999969482422,222.4199981689453,222.5500030517578,222.5500030517578,60608400,287.9200134277344,288.79998779296875,278.20001220703125,284.2799987792969,283.8943176269531,49158700
2025-11-19,593.719970703125,595.3300170898438,581.25,590.3200073242188,589.3343505859375,24744700,184.7899932861328,187.86000061035156,182.8300018310547,186.52000427246094,186.49951171875,247246400,406.17999267578125,411.7799987792969,398.5,403.989990234375,403.989990234375,72047700,490.1000061035156,495.19000244140625,482.8299865722656,487.1199951171875,485.102783203125,23245300,265.5299987792969,272.2099914550781,265.5,268.55999755859375,268.0619812011719,40424500,223.74000549316406,223.74000549316406,218.52000427246094,222.69000244140625,222.69000244140625,58335600,287.1600036621094,303.80999755859375,286.6300048828125,292.80999755859375,292.4127502441406,68198900
2025-11-20,603.5,606.719970703125,583.3499755859375,589.1500244140625,588.1663208007812,20603000,195.9499969482422,196.0,179.85000610351562,180.63999938964844,180.6201629638672,343504800,414.6300048828125,428.94000244140625,394.739990234375,395.2300109863281,395.2300109863281,113548800,492.7099914550781,493.57000732421875,475.5,478.42999267578125,477.3404846191406,26802500,270.8299865722656,275.42999267578125,265.9200134277344,266.25,265.7562561035156,45823600,227.0500030517578,227.41000366210938,216.74000549316406,217.13999938964844,217.13999938964844,50309000,304.5400085449219,306.4200134277344,288.6700134277344,289.45001220703125,289.05731201171875,62025200
2025-11-21,588.5,598.1199951171875,581.8599853515625,594.25,593.2578125,21052600,181.24000549316406,184.55999755859375,172.92999267578125,178.8800048828125,178.86036682128906,346926200,402.32000732421875,402.79998779296875,383.760009765625,391.0899963378906,391.0899963378906,100460600,478.5,478.9200134277344,468.2699890136719,472.1199951171875,471.04486083984375,31769200,265.95001220703125,273.3299865722656,265.6700134277344,271.489990234375,270.98651123046875,59030800,216.35000610351562,222.2100067138672,215.17999267578125,220.69000244140625,220.69000244140625,68490500,296.4200134277344,303.9200134277344,293.8500061035156,299.6600036621094,299.2534484863281,74137700
2025-11-24,598.719970703125,616.7000122070312,597.6300048828125,613.0499877929688,612.0264282226562,23554900,179.49000549316406,183.5,176.47999572753906,182.5500030517578,182.52996826171875,256618300,402.1700134277344,421.7200012207031,401.0899963378906,417.7799987792969,417.7799987792969,96806400,475.0,476.8999938964844,468.0199890136719,474.0,472.92059326171875,34421000,270.8999938964844,277.0,270.8999938964844,275.9200134277344,275.4083557128906,65585800,222.55999755859375,227.3300018310547,222.27000427246094,226.27999877929688,226.27999877929688,54318400,311.1300048828125,319.4800109863281,309.6000061035156,318.5799865722656,318.14776611328125,85165100
2025-11-25,624.0,637.0499877929688,618.2999877929688,636.219970703125,635.1576538085938,25213000,174.91000366210938,178.16000366210938,169.5500030517578,177.82000732421875,177.80047607421875,320600300,414.4200134277344,420.4800109863281,405.95001220703125,419.3999938964844,419.3999938964844,71915600,474.07000732421875,479.1499938964844,464.8900146484375,476.989990234375,475.90374755859375,28019800,275.2699890136719,280.3800048828125,275.25,276.9700012207031,276.45635986328125,46914200,226.3800048828125,230.52000427246094,223.8000030517578,229.6699981689453,229.6699981689453,39379300,326.2099914550781,328.8299865722656,317.6499938964844,323.44000244140625,323.0011901855469,88632100
2025-11-26,637.6900024414062,638.3599853515625,631.6300048828125,633.6099853515625,632.5520629882812,15209500,181.6300048828125,182.91000366210938,178.24000549316406,180.25999450683594,180.24020385742188,183852000,423.95001220703125,426.94000244140625,416.8900146484375,426.5799865722656,426.5799865722656,63463000,486.30999755859375,488.30999755859375,481.20001220703125,485.5,484.3943786621094,25709100,276.9599914550781,279.5299987792969,276.6300048828125,277.54998779296875,277.0353088378906,33431400,230.74000549316406,231.75,228.77000427246094,229.16000366210938,229.16000366210938,38497900,320.67999267578125,324.5,316.7900085449219,319.95001220703125,319.5159606933594,51373400
2025-11-28,636.0800170898438,648.0499877929688,635.5,647.9500122070312,646.8681640625,11033200,179.00999450683594,179.2899932861328,176.5,177.0,176.98056030273438,121332800,426.5899963378906,432.92999267578125,426.20001220703125,430.1700134277344,430.1700134277344,36252900,487.6000061035156,492.6300048828125,486.6499938964844,492.010009765625,490.88958740234375,14386700,277.260009765625,279.0,275.989990234375,278.8500061035156,278.3328857421875,20135600,231.24000549316406,233.2899932861328,230.22000122070312,233.22000122070312,233.22000122070312,20292300,323.3699951171875,326.8500061035156,316.7900085449219,320.17999267578125,319.74560546875,26018600
2025-12-01,639.5499877929688,645.3200073242188,637.760009765625,640.8699951171875,639.7999267578125,13029900,174.75999450683594,180.3000030517578,173.67999267578125,179.9199981689453,179.90025329589844,188131000,425.32000732421875,433.6600036621094,425.2900085449219,430.1400146484375,430.1400146484375,57463600,488.44000244140625,489.8599853515625,484.6499938964844,486.739990234375,485.6315612792969,23964000,278.010009765625,283.4200134277344,276.1400146484375,283.1000061035156,282.57501220703125,46587700,233.22000122070312,235.8000030517578,232.25,233.8800048828125,233.8800048828125,42904000,317.70001220703125,319.8500061035156,313.8900146484375,314.8900146484375,314.4627990722656,41183000
2025-12-02,642.3400268554688,647.8699951171875,638.0700073242188,647.0999755859375,646.01953125,11640900,181.75999450683594,185.66000366210938,180.0,181.4600067138672,181.44007873535156,182632200,430.80999755859375,436.79998779296875,422.1199951171875,429.239990234375,429.239990234375,69336600,486.7200012207031,493.5,486.32000732421875,490.0,488.8841552734375,19562700,283.0,287.3999938964844,282.6300048828125,286.19000244140625,285.6592712402344,53669500,235.00999450683594,238.97000122070312,233.5500030517578,234.4199981689453,234.4199981689453,45785400,316.739990234375,318.3800048828125,313.9100036621094,315.80999755859375,315.38153076171875,35854700
2025-12-03,644.4099731445312,648.8499755859375,637.5499877929688,639.5999755859375,638.5320434570312,11134300,181.0800018310547,182.4499969482422,179.11000061035156,179.58999633789062,179.57028198242188,165138000,432.1000061035156,447.9200134277344,431.1099853515625,446.739990234375,446.739990234375,87483000,476.32000732421875,484.239990234375,475.20001220703125,477.7300109863281,476.64208984375,34615100,286.20001220703125,288.6199951171875,283.29998779296875,284.1499938964844,283.623046875,43538700,233.35000610351562,233.3800048828125,230.61000061035156,232.3800048828125,232.3800048828125,35495100,315.8900146484375,321.5799865722656,314.1000061035156,319.6300048828125,319.1963806152344,41838300
2025-12-04,676.0,676.0999755859375,660.0499877929688,661.530029296875,660.425537109375,29874600,181.6199951171875,184.52000427246094,179.9600067138672,183.3800048828125,183.37008666992188,167364900,449.94000244140625,454.6300048828125,445.3900146484375,454.5299987792969,454.5299987792969,71906500,479.760009765625,481.32000732421875,476.489990234375,480.8399963378906,479.7449951171875,22318200,284.1000061035156,284.7300109863281,278.5899963378906,280.70001220703125,280.179443359375,43989100,232.77000427246094,233.5,226.8000030517578,229.11000061035156,229.11000061035156,45683200,322.2300109863281,322.3599853515625,314.70001220703125,317.6199951171875,317.1890869140625,31240900
2025-12-05,664.0,674.6900024414062,662.3900146484375,673.4199829101562,672.2955932617188,21207900,183.88999938964844,184.66000366210938,180.91000366210938,182.41000366210938,182.40013122558594,143971100,453.0299987792969,458.8699951171875,451.6600036621094,455.0,455.0,56427500,482.5199890136719,483.3999938964844,478.8800048828125,483.1600036621094,482.0597229003906,22608700,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,278.26300048828125,47265800,230.32000732421875,231.24000549316406,228.5500030517578,229.52999877929688,229.52999877929688,33117400,319.489990234375,323.1600036621094,319.1700134277344,321.2699890136719,320.8341064453125,28851700
2025-12-08,669.3400268554688,676.7100219726562,665.0700073242188,666.7999877929688,665.6866455078125,13161000,182.63999938964844,188.0,182.39999389648438,185.5500030517578,185.5399627685547,204378100,447.45001220703125,449.75,435.25,439.5799865722656,439.5799865722656,69165800,484.8900146484375,492.29998779296875,484.3800048828125,491.0199890136719,489.9018249511719,21965900,278.1300048828125,279.6700134277344,276.1499938964844,277.8900146484375,277.3746643066406,38211800,229.58999633789062,230.8300018310547,226.27000427246094,226.88999938964844,226.88999938964844,35019200,320.04998779296875,320.44000244140625,311.2200012207031,313.7200012207031,313.49932861328125,33909400
2025-12-09,663.77001953125,664.47998046875,653.3400268554688,656.9600219726562,655.8631591796875,12997100,185.55999755859375,185.72000122070312,183.32000732421875,184.97000122070312,184.95999145507812,144719700,437.5400085449219,452.3900146484375,435.70001220703125,445.1700134277344,445.1700134277344,62367400,489.1000061035156,492.1199951171875,488.5,492.0199890136719,490.8995361328125,14696100,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,276.6659851074219,32193300,226.83999633789062,228.57000732421875,225.11000061035156,227.9199981689453,227.9199981689453,25841700,312.3699951171875,317.989990234375,311.8999938964844,317.0799865722656,316.85693359375,30194000
2025-12-10,649.9500122070312,654.510009765625,643.4000244140625,650.1300048828125,649.0444946289062,16910900,184.97000122070312,185.47999572753906,182.0399932861328,183.77999877929688,183.77005004882812,162785400,446.07000732421875,456.8800048828125,443.6099853515625,451.45001220703125,451.45001220703125,63257500,484.0299987792969,484.25,475.0799865722656,478.55999755859375,477.4701843261719,35756200,277.75,279.75,276.44000244140625,278.7799987792969,278.26300048828125,33038300,228.80999755859375,232.4199981689453,228.4600067138672,231.77999877929688,231.77999877929688,38790700,315.8299865722656,321.30999755859375,314.67999267578125,320.2099914550781,319.9847412109375,33428900
2025-12-11,643.2899780273438,655.280029296875,640.7999877929688,652.7100219726562,651.6201782226562,13056700,180.27999877929688,181.32000732421875,176.6199951171875,180.92999267578125,180.92019653320312,182136600,448.95001220703125,449.2699890136719,440.3299865722656,446.8900146484375,446.8900146484375,55979500,476.6300048828125,486.0299987792969,475.8599853515625,483.4700012207031,482.3690185546875,24669200,279.1000061035156,279.5899963378906,273.80999755859375,278.0299987792969,277.514404296875,33248000,230.7100067138672,232.11000061035156,228.69000244140625,230.27999877929688,230.27999877929688,28249600,320.0799865722656,321.1199951171875,308.6000061035156,312.42999267578125,312.210205078125,42353700
2025-12-12,649.7999877929688,711.0,638.6099853515625,644.22998046875,643.1543579101562,14016900,181.11000061035156,182.82000732421875,174.6199951171875,175.02000427246094,175.01052856445312,204274900,448.0899963378906,463.010009765625,441.6700134277344,458.9599914550781,458.9599914550781,95656700,479.82000732421875,482.45001220703125,476.3399963378906,478.5299987792969,477.4402770996094,21248100,277.8999938964844,279.2200012207031,276.82000732421875,278.2799987792969,277.763916015625,39532900,229.8699951171875,230.0800018310547,225.1199951171875,226.19000244140625,226.19000244140625,35639100,313.70001220703125,314.8699951171875,305.55999755859375,309.2900085449219,309.07244873046875,35940200
2025-12-15,645.7000122070312,653.0,638.7000122070312,647.510009765625,646.9561157226562,15549100,177.94000244140625,178.4199981689453,175.02999877929688,176.2899932861328,176.28045654296875,164775600,469.44000244140625,481.7699890136719,467.6600036621094,475.30999755859375,475.30999755859375,114542200,480.1000061035156,480.7200012207031,472.5199890136719,474.82000732421875,473.73870849609375,23727700,280.1499938964844,280.1499938964844,272.8399963378906,274.1099853515625,273.6016540527344,50409100,227.92999267578125,227.92999267578125,221.5,222.5399932861328,222.5399932861328,47286100,311.32000732421875,311.4200134277344,304.8800048828125,308.2200012207031,308.003173828125,29151900
2025-12-16,643.5,662.5399780273438,643.2000122070312,657.1500244140625,656.587890625,14309100,176.25999450683594,178.49000549316406,174.89999389648438,177.72000122070312,177.71038818359375,148588100,472.2099914550781,491.5,465.8299865722656,489.8800048828125,489.8800048828125,107608100,471.9100036621094,477.8900146484375,470.8800048828125,476.3900146484375,475.3051452636719,20705600,272.82000732421875,275.5,271.7900085449219,274.6099853515625,274.1007385253906,37648600,223.0399932861328,223.66000366210938,221.1300048828125,222.55999755859375,222.55999755859375,39298900,304.95001220703125,310.7699890136719,302.5899963378906,306.57000732421875,306.3543395996094,30585000
2025-12-17,655.6099853515625,661.22998046875,649.2000122070312,649.5,648.9443969726562,15598500,176.10000610351562,176.1300048828125,170.30999755859375,170.94000244140625,170.93075561523438,222775500,488.2200012207031,495.2799987792969,466.20001220703125,467.260009765625,467.260009765625,106490400,476.9100036621094,480.0,475.0,476.1199951171875,475.0357360839844,24527200,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,271.33587646484375,50138700,224.66000366210938,225.19000244140625,220.99000549316406,221.27000427246094,221.27000427246094,44034400,308.010009765625,308.0899963378906,296.1199951171875,296.7200012207031,296.5112609863281,43930400
2025-12-18,657.030029296875,670.5599975585938,656.4600219726562,664.4500122070312,663.881591796875,20260300,174.52999877929688,176.14999389648438,171.82000732421875,174.13999938964844,174.1305694580078,176096000,478.1600036621094,490.8599853515625,473.1199951171875,483.3699951171875,483.3699951171875,95168400,478.19000244140625,489.6000061035156,477.8900146484375,483.9800109863281,482.87786865234375,28573500,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,271.68524169921875,51630700,225.7100067138672,229.22999572753906,224.41000366210938,226.75999450683594,226.75999450683594,50272400,301.7200012207031,303.9599914550781,299.2300109863281,302.4599914550781,302.2472229003906,33518000
